company_name,s1_filings_count
Avinger Inc,10
TITAN PHARMACEUTICALS INC,10
Touchpoint Group Holdings Inc.,10
"CareCloud, Inc.",10
"Toughbuilt Industries, Inc",10
"Sintx Technologies, Inc.",10
"Skye Bioscience, Inc.",10
PREMIER BIOMEDICAL INC,10
"SOBR Safe, Inc.",10
"Digital Brands Group, Inc.",10
"YIELD10 BIOSCIENCE, INC.",10
CHS INC,10
"Ayala Pharmaceuticals, Inc.",10
MULTIBAND CORP,10
"WESTWATER RESOURCES, INC.",10
"BIOLASE, INC",10
Applied Digital Corp.,10
"Axion Power International, Inc.",10
United States Commodity Index Funds Trust,10
MMCA AUTO RECEIVABLES TRUST,9
"Cyclacel Pharmaceuticals, Inc.",9
ONCOSEC MEDICAL Inc,9
SRS Development LLC,9
"RANGE IMPACT, INC.",9
AETHLON MEDICAL INC,9
SIMPLICITY ESPORTS & GAMING Co,9
"LogicMark, Inc.",9
"Rennova Health, Inc.",9
SunGard Kiodex LLC,9
"Scorpius Holdings, Inc.",9
Biofrontera Inc.,9
SunGard Reference Data Solutions LLC,9
SunGard AvantGard LLC,9
MULLEN AUTOMOTIVE INC.,9
"XTI Aerospace, Inc.",9
"EOM Pharmaceutical Holdings, Inc.",9
SunGard Energy Systems Inc.,9
"Fantex, Inc.",9
SunGard iWORKS LLC,9
"DIGITAL ALLY, INC.",9
SunGard DIS Inc.,9
SunGard Computer Services LLC,9
"ADIAL PHARMACEUTICALS, INC.",9
Cingulate Inc.,9
Pershing Gold Corp.,9
SunGard Asia Pacific Inc.,9
"Rezolute, Inc.",9
"Adhera Therapeutics, Inc.",9
SUNGARD DATA SYSTEMS INC,9
SunGard Securities Finance LLC,9
"BIOLARGO, INC.",9
SunGard Ambit LLC,9
SunGard Financial Systems LLC,9
SunGard Systems International Inc.,9
SunGard Investment Ventures LLC,9
Valeritas Holdings Inc.,9
SIS Europe Holdings LLC,9
"MACRO Securities Depositor, LLC",9
"BIO-PATH HOLDINGS, INC.",9
SunGard CSA LLC,9
"AEOLUS PHARMACEUTICALS, INC.",9
Automated Securities Clearance LLC,9
"Kartoon Studios, Inc.",9
International Stem Cell CORP,9
AIM ImmunoTech Inc.,9
"SunGard Software, Inc.",9
IntelGenx Technologies Corp.,9
Longeveron Inc.,9
"SenesTech, Inc.",9
SunGard Development LLC,9
SunGard Public Sector Inc.,9
180 Life Sciences Corp.,9
SunGard Investment Systems LLC,9
"Grom Social Enterprises, Inc.",9
hopTo Inc.,9
Predictive Oncology Inc.,9
SunGard Securities Finance International LLC,9
SunGard Workflow Solutions LLC,9
"DUOS TECHNOLOGIES GROUP, INC.",9
SunGard Shareholder Systems LLC,9
Online Securities Processing Inc.,9
"DELCATH SYSTEMS, INC.",9
SunGard Consulting Services LLC,9
SunGard eProcess Intelligence LLC,9
"SolarWindow Technologies, Inc.",8
"Xtant Medical Holdings, Inc.",8
ARADIGM CORP,8
"Cryoport, Inc.",8
BTCS Inc.,8
"Hepion Pharmaceuticals, Inc.",8
"CBA Florida, Inc.",8
"Enveric Biosciences, Inc.",8
"Cyalume Technologies Holdings, Inc.",8
"ABVC BIOPHARMA, INC.",8
Frontier Funds,8
InMed Pharmaceuticals Inc.,8
"BioSig Technologies, Inc.",8
"REED'S, INC.",8
"Applied Minerals, Inc.",8
"Applied UV, Inc.",8
"GALAXY NEXT GENERATION, INC.",8
"REMARK HOLDINGS, INC.",8
OPGEN INC,8
SunGard iWORKS P&C (US) Inc.,8
"Ascent Solar Technologies, Inc.",8
FARADAY FUTURE INTELLIGENT ELECTRIC INC.,8
Invesco DB Multi-Sector Commodity Trust,8
WINDTREE THERAPEUTICS INC /DE/,8
"MABVAX THERAPEUTICS HOLDINGS, INC.",8
Bunker Hill Mining Corp.,8
Q BioMed Inc.,8
"Kraig Biocraft Laboratories, Inc",8
SunGard Availability Services Ltd.,8
Inflow LLC,8
"Qualigen Therapeutics, Inc.",8
IMMUNE PHARMACEUTICALS INC,8
"Aditxt, Inc.",8
"Lightwave Logic, Inc.",8
"Banzai International, Inc.",8
"SEELOS THERAPEUTICS, INC.",8
Bionik Laboratories Corp.,8
SunGard Availability Services LP,8
VERITEQ,8
KIORA PHARMACEUTICALS INC,8
enVVeno Medical Corp,8
"Bergio International, Inc.",8
SunGard VPM Inc.,8
"GWG Holdings, Inc.",8
ABEONA THERAPEUTICS INC.,8
Symetra Life Insurance Co,8
Nikola Corp,8
APPLIED DNA SCIENCES INC,8
"HELIUS MEDICAL TECHNOLOGIES, INC.",8
"GT Biopharma, Inc.",8
SunGard NetWork Solutions Inc.,8
Lexaria Bioscience Corp.,8
"SAUER ENERGY, INC.",8
ReShape Lifesciences Inc.,8
"Troika Media Group, Inc.",8
"SITO MOBILE, LTD.",8
Lifeward Ltd.,8
SunGard SAS Holdings Inc.,8
Blue Star Foods Corp.,8
"Arch Therapeutics, Inc.",8
"Ocean Power Technologies, Inc.",8
SunGard Technology Services LLC,8
INVIVO THERAPEUTICS HOLDINGS CORP.,8
"Moleculin Biotech, Inc.",8
"InspireMD, Inc.",8
CervoMed Inc.,8
"Ontrak, Inc.",7
Scilex Holding Co,7
INVESCO DB SILVER FUND,7
Connexa Sports Technologies Inc.,7
GLOBAL TELESYSTEMS INC,7
"Ener-Core, Inc.",7
RAND WORLDWIDE INC,7
"Nxu, Inc.",7
"Staffing 360 Solutions, Inc.",7
"WaferGen Bio-systems, Inc.",7
La Rosa Holdings Corp.,7
Cosmos Health Inc.,7
Athene Annuity & Life Co,7
Microbot Medical Inc.,7
"Entero Therapeutics, Inc.",7
"BIOXYTRAN, INC",7
"Onconetix, Inc.",7
"REVELATION BIOSCIENCES, INC.",7
"Bantec, Inc.",7
"Transcode Therapeutics, Inc.",7
CICERO INC,7
"COOL TECHNOLOGIES, INC.",7
micromobility.com Inc.,7
"CNS Pharmaceuticals, Inc.",7
AUDDIA INC.,7
Safe & Green Development Corp,7
"TuHURA Biosciences, Inc./NV",7
MusclePharm Corp,7
"Omagine, Inc.",7
"MINISTRY PARTNERS INVESTMENT COMPANY, LLC",7
Amplify Commodity Trust,7
GLOBAL MACRO TRUST,7
"Tenon Medical, Inc.",7
"Cardiff Oncology, Inc.",7
"NAYA Biosciences, Inc.",7
"VERDE BIO HOLDINGS, INC.",7
Tonix Pharmaceuticals Holding Corp.,7
"ClearPoint Neuro, Inc.",7
"RiskOn International, Inc.",7
"Ensysce Biosciences, Inc.",7
"PALISADE BIO, INC.",7
"Armata Pharmaceuticals, Inc.",7
"VNUE, Inc.",7
FOXO TECHNOLOGIES INC.,7
NextPlat Corp,7
"Marquie Group, Inc.",7
"Vivos Therapeutics, Inc.",7
"MARA Holdings, Inc.",7
"Sonoma Pharmaceuticals, Inc.",7
"Nuo Therapeutics, Inc.",7
"Clearday, Inc.",7
"IZEA Worldwide, Inc.",7
"Aclarion, Inc.",7
Worksport Ltd,7
COMPASS INTERNATIONAL SERVICES CORP,7
iSign Solutions Inc.,7
"ASPEN GROUP, INC.",7
"Emmaus Life Sciences, Inc.",7
"TerraForm Power NY Holdings, Inc.",7
NORTH BAY RESOURCES INC,7
DarioHealth Corp.,7
FARMLAND INDUSTRIES INC,7
"Great Basin Scientific, Inc.",7
iCoreConnect Inc.,7
ONYX ACCEPTANCE FINANCIAL CORP,7
"Advanced Portfolio Technologies, Inc.",7
JACKSON NATIONAL LIFE INSURANCE CO,7
"Gaucho Group Holdings, Inc.",7
Optex Systems Holdings Inc,6
Crown Electrokinetics Corp.,6
"Arno Therapeutics, Inc",6
ORAGENICS INC,6
"Juhl Energy, Inc",6
APPlife Digital Solutions Inc,6
"SOLAR WIND ENERGY TOWER, INC.",6
"Greenwave Technology Solutions, Inc.",6
AB INTERNATIONAL GROUP CORP.,6
"UniTek Global Services, Inc.",6
"Select Water Solutions, Inc.",6
Dominari Holdings Inc.,6
NANOMIX Corp,6
"Adynxx, Inc.",6
"SunGard VeriCenter, Inc.",6
"Silo Pharma, Inc.",6
IBASIS INC,6
"TPT GLOBAL TECH, INC.",6
ABGENIX INC,6
BOCA RESORTS INC,6
"UNIFIED GROCERS, INC.",6
"Advanced Life Sciences Holdings, Inc.",6
ALLEGIANCE TELECOM INC,6
SunGard Higher Education Managed Services Inc.,6
"TENAX THERAPEUTICS, INC.",6
"APPLIED ENERGETICS, INC.",6
DSG Global Inc.,6
Equitable Financial Life Insurance Co,6
"MultiSensor AI Holdings, Inc.",6
Brand Engagement Network Inc.,6
"Unrivaled Brands, Inc.",6
"DIGILITI MONEY GROUP, INC.",6
"SpringBig Holdings, Inc.",6
"GLOBAL MATRECHS, INC.",6
"Tracon Pharmaceuticals, Inc.",6
"GROWLIFE, INC.",6
STARTECH ENVIRONMENTAL CORP,6
"LILIS ENERGY, INC.",6
"ARTELO BIOSCIENCES, INC.",6
"Beeline Holdings, Inc.",6
Iterum Therapeutics plc,6
"Guardion Health Sciences, Inc.",6
"AMERIGUARD SECURITY SERVICES, INC.",6
RCN CORP /DE/,6
"CARDINAL COMMUNICATIONS, INC",6
"Oncotelic Therapeutics, Inc.",6
Sidus Space Inc.,6
"Outlook Therapeutics, Inc.",6
RJO GLOBAL TRUST,6
Bone Biologics Corp,6
"IIOT-OXYS, Inc.",6
"Mobiquity Technologies, Inc.",6
IMAGEWARE SYSTEMS INC,6
"Virpax Pharmaceuticals, Inc.",6
"CANNABIS GLOBAL, INC.",6
"Alto Ingredients, Inc.",6
"Chicken Soup for the Soul Entertainment, Inc.",6
OMEGA COMMERCIAL FINANCE CORP,6
"ACHIEVE LIFE SCIENCES, INC.",6
"Marijuana Co of America, Inc.",6
"Beyond Air, Inc.",6
"Arcadia Biosciences, Inc.",6
Mr. Amazing Loans Corp,6
Asset Entities Inc.,6
MIDLAND NATIONAL LIFE INSURANCE CO,6
BARFRESH FOOD GROUP INC.,6
"Eventure Interactive, Inc.",6
NaturalShrimp Inc,6
NIOCORP DEVELOPMENTS LTD,6
VERITAS SOFTWARE CORP /DE/,6
AMERICAN BATTERY TECHNOLOGY Co,6
"NCT GROUP, INC.",6
NEUROONE MEDICAL TECHNOLOGIES Corp,6
"Shuttle Pharmaceuticals Holdings, Inc.",6
Momentus Inc.,6
Prairie Operating Co.,6
"Andalay Solar, Inc.",6
FOCUS UNIVERSAL INC.,6
Odysight.ai Inc.,6
CIMG Inc.,6
"Kiromic Biopharma, Inc.",6
Cytosorbents Corp,6
SeaStar Medical Holding Corp,6
SURF AIR MOBILITY INC.,6
ACCENTIA BIOPHARMACEUTICALS INC,6
INCARA PHARMACEUTICALS CORP,6
AGRIFORCE GROWING SYSTEMS LTD.,6
MORGAN STANLEY SMITH BARNEY SPECTRUM SELECT LP,6
"Soluna Holdings, Inc",6
Fundamental Global Inc.,6
"Catheter Precision, Inc.",6
CytoDyn Inc.,6
"HC LIQUIDATING, INC.",6
SunGard Higher Education Inc.,6
OWC Pharmaceutical Research Corp.,6
Invesco DB US Dollar Index Trust,6
"Modular Medical, Inc.",6
"CERO THERAPEUTICS HOLDINGS, INC.",6
COATES INTERNATIONAL LTD,6
LIQUIDMETAL TECHNOLOGIES INC,6
"Akoustis Technologies, Inc.",6
"Scienture Holdings, Inc.",6
"Deep Green Waste & Recycling, Inc.",6
Greenidge Generation Holdings Inc.,6
"STRYVE FOODS, INC.",6
"Exeter Educational Management Systems, Inc.",6
"Accredited Solutions, Inc.",6
"Innovative Payment Solutions, Inc.",6
"Pulmatrix, Inc.",6
"ShiftPixy, Inc.",6
"Traws Pharma, Inc.",6
"Acurx Pharmaceuticals, Inc.",5
"Glucotrack, Inc.",5
"Aterian, Inc.",5
"NCO Group International, Inc.",5
Zurich American Life Insurance Co,5
"Cyclo Therapeutics, Inc.",5
"ENDONOVO THERAPEUTICS, INC.",5
PRUDENTIAL VARIABLE CONTRACT REAL PROPERTY ACCOUNT,5
Mosaic ImmunoEngineering Inc.,5
HYPERDYNAMICS CORP,5
Rockley Photonics Holdings Ltd,5
Ceres Classic L.P.,5
"Alternus Clean Energy, Inc.",5
WORLDGATE COMMUNICATIONS INC,5
TIAA-CREF Life Insurance CO,5
INVESCO DB US DOLLAR INDEX BEARISH FUND,5
Aptevo Therapeutics Inc.,5
"Investview, Inc.",5
"Auto Parts 4Less Group, Inc.",5
SinglePoint Inc.,5
"Vantage Energy Services, Inc.",5
DATATEC SYSTEMS INC,5
FIRST SECURITY GROUP INC/TN,5
"Nuverra Environmental Solutions, Inc.",5
TREES Corp (Colorado),5
"SRAX, Inc.",5
Acer Therapeutics Inc.,5
GOLDRICH MINING CO,5
"TAMIR BIOTECHNOLOGY, INC.",5
Astro Aerospace Ltd.,5
Nuvve Holding Corp.,5
Enservco Corp,5
"Vistagen Therapeutics, Inc.",5
Peraso Inc.,5
"Vinco Ventures, Inc.",5
"RMH Teleservices Asia Pacific, Inc.",5
"Stereotaxis, Inc.",5
Artisan Partners Asset Management Inc.,5
Vertex Energy Inc.,5
"NCO Customer Management, Inc.",5
"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",5
"Reliance Global Group, Inc.",5
"CARDAX, INC.",5
"Clarus Therapeutics Holdings, Inc.",5
"BioRestorative Therapies, Inc.",5
"TREX WIND-DOWN, INC.",5
Clean Vision Corp,5
TENGTU INTERNATIONAL CORP,5
Sow Good Inc.,5
Innovative Eyewear Inc,5
"Lazydays Holdings, Inc.",5
HeartSciences Inc.,5
ASK JEEVES INC,5
Celularity Inc,5
NATIONAL HOLDINGS CORP,5
Skillz Inc.,5
GREENTREE FLOORPLAN FUNDING CORP,5
"NCO Holdings, Inc.",5
"ETELOS, INC.",5
BIOPURE CORP,5
Trump Media & Technology Group Corp.,5
"NCOP/Marlin, Inc.",5
eWELLNESS HEALTHCARE Corp,5
"MISCOR GROUP, LTD.",5
iSHARES COMMODITY OPTIMIZED TRUST,5
TERRESTAR CORP,5
"FCA Leasing, Inc.",5
VELOCITY EXPRESS CORP,5
"Greenlane Holdings, Inc.",5
"Viking Therapeutics, Inc.",5
"Guerrilla RF, Inc.",5
ZHONGPIN INC.,5
APPLIED BUSINESS TELECOMMUNICATIONS,5
"Shepherd's Finance, LLC",5
"Bluefire Renewables, Inc.",5
LEHIGH PRESS LLC,5
COMSovereign Holding Corp.,5
Midatech Pharma US Inc.,5
LadRx Corp,5
TREASURE GLOBAL INC,5
"INTELLINETICS, INC.",5
MMCA AUTO RECEIVABLES TRUST II,5
"Daniels Corporate Advisory Company, Inc.",5
"Inhibikase Therapeutics, Inc.",5
"NCO Support Services, LLC",5
ALTIVA FINANCIAL CORP,5
NORTHWEST BIOTHERAPEUTICS INC,5
"Gryphon Digital Mining, Inc.",5
TearLab Corp,5
WFS FINANCIAL AUTO LOANS INC,5
"JDR Holdings, Inc.",5
"MedClean Technologies, Inc.",5
OptimizeRx Corp,5
NATIONWIDE LIFE INS CO,5
"POLYMEDIX, INC",5
AMERICAN INTERNATIONAL HOLDINGS CORP.,5
Edible Garden AG Inc,5
"Volcon, Inc.",5
"Envirotech Vehicles, Inc.",5
"PaxMedica, Inc.",5
"SUPERFUND GREEN, L.P.",5
MORGAN STANLEY SMITH BARNEY SPECTRUM TECHNICAL LP,5
"Oasys Mobile, Inc.",5
ORAMED PHARMACEUTICALS INC.,5
"NCOP Nevada Holdings, Inc.",5
TURBOSONIC TECHNOLOGIES INC,5
AMERICAN REBEL HOLDINGS INC,5
"Evofem Biosciences, Inc.",5
"Intuitive Machines, Inc.",5
Cyngn Inc.,5
"Transportation & Logistics Systems, Inc.",5
EMAGIN CORP,5
"AmeriCann, Inc.",5
"Notis Global, Inc.",5
"Ocata Therapeutics, Inc.",5
"NCO Financial Systems, Inc.",5
InsPro Technologies Corp,5
"GRI Bio, Inc.",5
AGILE THERAPEUTICS INC,5
META MATERIALS INC.,5
"Vivakor, Inc.",5
"NCO Group, Inc.",5
Amesite Inc.,5
ACT TELECONFERENCING INC,5
FONIX CORP,5
ADVANSTAR COMMUNICATIONS INC,5
"Ainos, Inc.",5
"bioAffinity Technologies, Inc.",5
EMRISE Corp,5
GENWORTH LIFE & ANNUITY INSURANCE CO,5
ML TREND-FOLLOWING FUTURES FUND L.P.,5
Canopy Growth Corp,5
"Near Intelligence, Inc.",5
"Compass Teleservices, Inc.",5
"FibroBiologics, Inc.",5
"Euthymics Bioscience, Inc.",5
PALATIN TECHNOLOGIES INC,5
National General Holdings Corp.,5
"Dare Bioscience, Inc.",5
"CAPRICOR THERAPEUTICS, INC.",5
LUXURBAN HOTELS INC.,5
Beneficient,5
BIOVIE INC.,5
"ZyVersa Therapeutics, Inc.",5
RAE SYSTEMS INC,5
"INNOVUS PHARMACEUTICALS, INC.",5
"PURE BIOSCIENCE, INC.",5
TENGION INC,5
"PLBY Group, Inc.",5
Revolutions Medical CORP,5
"MSP Recovery, Inc.",5
"OZOP ENERGY SOLUTIONS, INC.",5
Benitec Biopharma Inc.,5
Trio Petroleum Corp.,5
"CDTI ADVANCED MATERIALS, INC.",5
"RumbleOn, Inc.",5
PAVmed Inc.,5
"GL Trade Overseas, Inc.",5
AUDIOEYE INC,5
GB SCIENCES INC,5
Better Choice Co Inc.,5
"ALLURION TECHNOLOGIES, INC.",5
"FCA Funding, Inc.",5
"My Size, Inc.",5
"NCO ACI Holdings, Inc.",5
"Rich Pharmaceuticals, Inc.",5
CALMARE THERAPEUTICS Inc,5
"Harbor Custom Development, Inc.",5
RYVYL Inc.,5
SFX ENTERTAINMENT INC,5
"uVuMobile, Inc",5
"EAUTOCLAIMS, INC",5
"Safety Shot, Inc.",5
"NCO Portfolio Management, Inc.",5
PLIANT LLC,5
"NCO Teleservices, Inc.",5
"United States Gasoline Fund, LP",5
"Dermata Therapeutics, Inc.",5
"ALW Financial, Inc.",5
"AEye, Inc.",5
"KONA GOLD BEVERAGE, INC.",5
"BIGtoken, Inc.",5
"LM FUNDING AMERICA, INC.",5
"Elys BMG Group, Inc.",5
"AC Financial Services, Inc.",5
Assure Holdings Corp.,5
"Harvard Apparatus Regenerative Technology, Inc.",5
"Processa Pharmaceuticals, Inc.",5
"NCOP Services, Inc.",5
"ORCHESTRA THERAPEUTICS, INC.",5
"Vyant Bio, Inc.",5
REGENERX BIOPHARMACEUTICALS INC,5
Triller Group Inc.,5
"ENERGY FOCUS, INC/DE",5
"NCO Funding, Inc.",5
"Indaptus Therapeutics, Inc.",5
Artificial Intelligence Technology Solutions Inc.,5
"Abacus Global Management, Inc.",5
"Fresh Tracks Therapeutics, Inc.",5
ATLANTIC POWER CORP,5
PRUCO LIFE VARIABLE CONTRACT REAL PROPERTY ACCOUNT,5
CROSSROADS SYSTEMS INC,5
"NCOP IX, LLC",5
Invesco CurrencyShares Swedish Krona Trust,5
iQSTEL Inc,5
"Hoth Therapeutics, Inc.",5
SWISSRAY INTERNATIONAL INC,5
Function(x) Inc.,5
MOBIVITY HOLDINGS CORP.,5
MENS APPAREL GUILD IN CALIFORNIA INC,5
"AssetCare, Inc.",5
"ATHERSYS, INC / NEW",5
RMG Networks Holding Corp,5
"BLUE CALYPSO, INC.",5
"UFood Restaurant Group, Inc.",5
"Charlie's Holdings, Inc.",5
"NRX Pharmaceuticals, Inc.",5
Korth Direct Mortgage Inc.,5
Energy & Water Development Corp,5
"IDEANOMICS, INC.",5
AURORA GOLD CORP,5
"NCOP Financing, Inc.",5
COSI INC,5
QUANTA INC,5
Eterna Therapeutics Inc.,5
"United States 12 Month Natural Gas Fund, LP",5
PRUCO LIFE OF NEW JERSEY VARIABLE CONTRACT REAL PROPERTY ACC,5
"Interactive Strength, Inc.",5
Invesco DB Energy Fund,5
SUNAMERICA ANNUITY & LIFE ASSURANCE CO,5
PRINCIPAL LIFE INSURANCE CO,5
"EnSync, Inc.",5
CLOUD PEAK ENERGY INC.,4
"BIORA THERAPEUTICS, INC.",4
"Eos Energy Enterprises, Inc.",4
"FINJAN HOLDINGS, INC.",4
"Edesa Biotech, Inc.",4
"Xenith Bankshares, Inc.",4
Athlon Energy Inc.,4
HYCROFT MINING HOLDING CORP,4
"United States Diesel-Heating Oil Fund, LP",4
VANTAGE DRILLING NETHERLANDS B.V.,4
"DermTech, Inc.",4
"Aldeyra Therapeutics, Inc.",4
MetaVia Inc.,4
IGEN NETWORKS CORP,4
"Rigetti Computing, Inc.",4
"Oak Street Health, Inc.",4
JOSTENS INC,4
SunGard ERisk Inc.,4
"Ealixir, Inc.",4
Invesco DB Precious Metals Fund,4
Invesco DB Gold Fund,4
Future FinTech Group Inc.,4
United Cannabis Corp,4
SHARING SERVICES GLOBAL Corp,4
"Tempest Recovery Services, Inc.",4
Zosano Pharma Corp,4
"TriSalus Life Sciences, Inc.",4
Medley LLC,4
UNITED WESTERN BANCORP INC,4
"BOOMER HOLDINGS, INC.",4
IVILLAGE INC,4
Vantage Driller ROCO S.R.L.,4
NORCOR TECHNOLOGIES Corp,4
"SPECIFICITY, INC.",4
Natur International Corp.,4
"Algorhythm Holdings, Inc.",4
"Bionano Genomics, Inc.",4
"NCOP X, LLC",4
"HUMBL, INC.",4
EMERALD DRILLER Co,4
VANTAGE DRILLING (MALAYSIA) I SDN. BHD.,4
"Vantage Deepwater Drilling, Inc.",4
"PIONEER POWER SOLUTIONS, INC.",4
"INTERLINE BRANDS, INC./DE",4
"U.S. Stem Cell, Inc.",4
"NCOP VII, LLC",4
ACTELIS NETWORKS INC,4
"NCOP I, LLC",4
"NexCen Brands, Inc.",4
"AMBICOM HOLDINGS, INC",4
BLUE SPHERE CORP.,4
authID Inc.,4
ALTA EQUIPMENT GROUP INC.,4
biote Corp.,4
"Floor & Decor Holdings, Inc.",4
Nano Magic Inc.,4
"ENTECH SOLAR, INC.",4
ELITE PHARMACEUTICALS INC /NV/,4
CEA Industries Inc.,4
Thunder Energies Corp,4
NextDecade Corp.,4
MORGAN STANLEY SMITH BARNEY CHARTER ASPECT L.P.,4
"N2OFF, Inc.",4
"Signing Day Sports, Inc.",4
"Appreciate Holdings, Inc.",4
"Benson Hill, Inc.",4
"Coeptis Therapeutics Holdings, Inc.",4
"Genprex, Inc.",4
VANTAGE DRILLER I CO.,4
"NCOP III, LLC",4
"OSI Outsourcing Services International, Inc.",4
Netcapital Inc.,4
GBT Technologies Inc.,4
K-V Pharmaceutical Co,4
"UpHealth, Inc.",4
"Array Technologies, Inc.",4
1st FRANKLIN FINANCIAL CORP,4
OSI PORTFOLIO SERVICES INC,4
Expion360 Inc.,4
"TG THERAPEUTICS, INC.",4
"Horizon Lines, Inc.",4
"Neurotrope, Inc.",4
"VSEE HEALTH, INC.",4
NetBrands Corp.,4
"Petron Energy II, Inc.",4
Stevia Corp,4
BIOMET INC,4
"Life Clips, Inc.",4
"Leslie's, Inc.",4
"IMAC Holdings, Inc.",4
"Academy Sports & Outdoors, Inc.",4
DOBSON COMMUNICATIONS CORP,4
"Arena Group Holdings, Inc.",4
"Apexigen, Inc.",4
"Zeo ScientifiX, Inc.",4
Aptose Biosciences Inc.,4
DDI CORP,4
SMG Industries Inc.,4
VANTAGE DRILLER IV CO.,4
Dragonfly Energy Holdings Corp.,4
INTRUSION INC,4
AlerisLife Inc.,4
TECOGEN INC.,4
"Alon USA Energy, Inc.",4
GORDON & CO,4
"Adagio Medical Holdings, Inc.",4
"SharpSpring, Inc.",4
VANTAGE DRILLER III CO.,4
"Better Therapeutics, Inc.",4
"Stronghold Digital Mining, Inc.",4
Redwire Corp,4
"NanoVibronix, Inc.",4
OCCAM NETWORKS INC/DE,4
"MANGOCEUTICALS, INC.",4
VANTAGE INTERNATIONAL MANAGEMENT CO.,4
Outsourcing Solutions Inc.,4
"TFF Pharmaceuticals, Inc.",4
PT. Vantage Drilling Co Indonesia,4
SCIENTIFIC INDUSTRIES INC,4
RENTAL SERVICE CORP,4
"Motus GI Holdings, Inc.",4
"WHITE FOX VENTURES, INC.",4
Sky Harbour Group Corp,4
AZEK Co Inc.,4
Feihe International Inc,4
T Stamp Inc,4
Invesco DB Oil Fund,4
"NCOP II, LLC",4
ACCLAIM ENTERTAINMENT INC,4
OS Therapies Inc,4
"Biomet Florida Services, LLC",4
"VerifyMe, Inc.",4
ANAVEX LIFE SCIENCES CORP.,4
REGEN BIOLOGICS INC,4
"Vitamin Shoppe, Inc.",4
International Land Alliance Inc.,4
ROBOTIC VISION SYSTEMS INC,4
GOODRICH PETROLEUM CORP,4
"Del Frisco's Restaurant Group, Inc.",4
Frontier Long/Short Commodity Fund,4
"NCOP IV, LLC",4
"Kips Bay Medical, Inc.",4
NutriBand Inc.,4
"Cross Medical Products, LLC",4
"Amprius Technologies, Inc.",4
"Eledon Pharmaceuticals, Inc.",4
PLIANT FILM PRODUCTS OF MEXICO INC,4
"Union Settlement Administrator Holdco, Inc.",4
VCAMPUS CORP,4
PLIANT PACKAGING OF CANADA LLC,4
Nano Nuclear Energy Inc.,4
"NCOP VIII, LLC",4
"RenovaCare, Inc.",4
MIDWEST AIR GROUP INC,4
